,molecule_chembl_id,canonical_smiles,bioactivity,MW,LogP,NumHDonors,NumHAcceptors,pIC50
187,CHEMBL138754,CC(C)c1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)N2CC[C@H]3[C@H]2[C@H](C)C(=O)N3C(=O)C2CC2)cc1,active,487.62200000000024,2.3475,0.0,5.0,6.337242168318426
188,CHEMBL336909,CC(C)c1ccc(NC(=O)N2CCC[C@H]2C(=O)N2CC[C@H]3[C@H]2[C@H](C)C(=O)N3C(=O)C2C(C)(C)C2(C)C)cc1,inactive,522.6900000000004,4.462900000000004,1.0,4.0,4.698970004336019
189,CHEMBL422106,COc1cccc2sc(N3C(=O)[C@@H](C)[C@@H]4[C@@H]3CCN4C(=O)[C@@H]3CCCN3C(=O)Nc3ccc(C(C)C)cc3)nc12,active,561.7080000000003,5.077000000000004,1.0,6.0,6.619788758288394
190,CHEMBL336230,CC(C)c1ccc(NC(=O)N2CCC[C@H]2C(=O)N2CC[C@H]3[C@H]2[C@H](C)C(=O)N3c2nc3cc(Cl)ccc3s2)cc1,active,566.1270000000002,5.721800000000006,1.0,5.0,6.337242168318426
191,CHEMBL344199,COc1ccc2sc(N3C(=O)[C@@H](C)[C@@H]4[C@@H]3CCN4C(=O)[C@@H]3CCCN3C(=O)Nc3ccc(C(C)C)cc3)nc2c1,active,561.7080000000003,5.077000000000004,1.0,6.0,6.638272163982407
192,CHEMBL342014,C[C@@H]1C(=O)N(C(=O)C2CC2)[C@H]2CCN(C(=O)[C@@H]3CCCN3C(=O)Nc3ccc(Cl)cc3)[C@H]12,active,458.94600000000014,2.720700000000001,1.0,4.0,6.585026652029182
193,CHEMBL342871,CCOC(=O)c1ccc2nc(N3C(=O)[C@@H](C)[C@@H]4[C@@H]3CCN4C(=O)[C@@H]3CCCN3C(=O)Nc3ccc(C(C)C)cc3)sc2c1,active,603.7450000000003,5.245100000000005,1.0,7.0,6.455931955649724
194,CHEMBL138346,C[C@@H]1C(=O)N(C(=O)C2CC2)[C@H]2CCN(C(=O)[C@@H]3CCCN3C(=O)Nc3ccc(C(F)(F)F)cc3)[C@H]12,active,492.4980000000001,3.086100000000001,1.0,4.0,6.638272163982407
195,CHEMBL139154,COc1ccc2nc(N3C(=O)[C@@H](C)[C@@H]4[C@@H]3CCN4C(=O)[C@@H]3CCCN3C(=O)Nc3ccc(C(C)C)cc3)sc2c1,active,561.7080000000003,5.077000000000004,1.0,6.0,6.657577319177793
196,CHEMBL343989,CCCOc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)N2CC[C@H]3[C@H]2[C@H](C)C(=O)N3C(=O)C2CC2)cc1,active,503.62100000000027,2.0128999999999992,0.0,6.0,6.638272163982407
197,CHEMBL344039,CC(C)c1ccc(NC(=O)N2CCC[C@H]2C(=O)N2CC[C@H]3[C@H]2[C@H](C)C(=O)N3C(=O)C2CC2)cc1,active,466.5820000000003,3.1907000000000014,1.0,4.0,6.698970004336019
199,CHEMBL337312,CC(C)c1ccc(C(=O)N2CCC[C@H]2C(=O)N2CC[C@H]3[C@H]2[C@H](C)C(=O)N3C(=O)C2CC2)cc1,active,451.5670000000002,2.7990000000000013,0.0,4.0,6.4089353929735005
200,CHEMBL134973,CC(C)c1ccc(NC(=O)N2CCC[C@H]2C(=O)N2CC[C@H]3[C@H]2[C@H](C)C(=O)N3c2nc3ccc(OC(F)(F)F)cc3s2)cc1,active,615.6780000000003,5.967000000000006,1.0,6.0,6.337242168318426
201,CHEMBL138211,CCCOc1ccc(C(=O)N2CCC[C@H]2C(=O)N2CC[C@H]3[C@H]2[C@H](C)C(=O)N3C(=O)C2CC2)cc1,active,467.56600000000026,2.4643999999999995,0.0,5.0,6.267606240177032
202,CHEMBL343130,C[C@@H]1C(=O)N(C(=O)C2CC2)[C@H]2CCN(C(=O)[C@@H]3CCCN3S(=O)(=O)c3ccc(-c4ccc(Cl)cc4)cc3)[C@H]12,active,556.0840000000002,3.544500000000002,0.0,5.0,6.075720713938118
203,CHEMBL336034,Cc1c(C(=O)N2CCC[C@H]2C(=O)N2CC[C@H]3[C@H]2[C@H](C)C(=O)N3C(=O)C2CC2)sc2ccc(Cl)cc12,active,514.0470000000003,3.852120000000003,0.0,5.0,6.721246399047171
204,CHEMBL343116,CC(C)c1ccc(NC(=O)N2CCC[C@H]2C(=O)N2CC[C@H]3[C@H]2[C@H](C)C(=O)N3c2nc3ccc([N+](=O)[O-])cc3s2)cc1,active,576.6790000000003,4.976600000000005,1.0,7.0,6.4089353929735005
205,CHEMBL138427,CC(C)Oc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)N2CC[C@H]3[C@H]2[C@H](C)C(=O)N3C(=O)C2CC2)cc1,active,503.62100000000027,2.0112999999999994,0.0,6.0,6.3979400086720375
206,CHEMBL341767,CC(C)c1ccccc1NC(=O)N1CCC[C@H]1C(=O)N1CC[C@H]2[C@H]1[C@H](C)C(=O)N2C(=O)C1CC1,active,466.5820000000003,3.1907000000000014,1.0,4.0,6.327902142064283
208,CHEMBL421758,C[C@@H]1C(=O)N(C(=O)C2CC2)[C@H]2CCN(C(=O)[C@@H]3CCCN3C(=O)c3cccc4ccccc34)[C@H]12,active,459.54600000000016,2.828800000000001,0.0,4.0,6.050609993355087
209,CHEMBL139571,CC(C)c1ccc(NC(=O)N2CCC[C@H]2C(=O)N2CC[C@H]3[C@H]2[C@H](C)C(=O)N3C(=O)[C@H]2[C@@H](C)[C@H]2C)cc1,active,494.63600000000025,3.6827000000000023,1.0,4.0,6.522878745280337
210,CHEMBL344656,CC(C)c1ccc(NC(=O)N2CCC[C@H]2C(=O)N2CC[C@H]3[C@H]2[C@H](C)C(=O)N3c2nc3ccccc3s2)cc1,active,531.6820000000002,5.068400000000005,1.0,5.0,6.7447274948966935
211,CHEMBL138141,CC(C)c1ccc(NC(=O)N2CCC[C@H]2C(=O)N2CC[C@H]3[C@H]2[C@H](C)C(=O)N3c2nc3ccc(F)cc3s2)cc1,active,549.6720000000003,5.207500000000005,1.0,5.0,6.443697499232712
212,CHEMBL107126,Cc1csc2nc(Cc3ccc(C(=O)c4ccc(NO)cc4)cc3)oc(=O)c12,active,392.4360000000001,4.180820000000002,2.0,7.0,7.853871964321762
214,CHEMBL442199,Cc1csc2nc(Cc3ccc(C(=O)c4ccccc4)cc3)nc(O)c12,inactive,360.4380000000001,4.5271200000000045,1.0,5.0,4.481486060122112
216,CHEMBL104823,Cc1csc2nc(Cc3ccc(C(=O)c4cccc(/N=[N+](\[O-])c5cccc(C(=O)c6ccc(Cc7nc8scc(C)c8c(=O)o7)cc6)c5)c4)cc3)oc(=O)c12,inactive,764.8410000000002,8.99854,0.0,12.0,4.481486060122112
222,CHEMBL326888,Cc1csc2nc(Cc3ccc(C(=O)c4cccc(N)c4)cc3)oc(=O)c12,active,376.4370000000002,3.9619200000000028,1.0,6.0,6.0
223,CHEMBL432637,Cc1csc2nc(Cc3ccc(C(=O)c4cccc(NO)c4)cc3)oc(=O)c12,active,392.43600000000015,4.180820000000002,2.0,7.0,7.721246399047171
224,CHEMBL107078,Cc1csc2nc(Cc3ccc(C(=O)c4cccc(N=O)c4)cc3)oc(=O)c12,active,390.4200000000002,4.777620000000003,0.0,7.0,7.259637310505756
227,CHEMBL107357,Cc1csc2nc(Cc3ccc(C(=O)c4ccc(CO)cc4)cc3)oc(=O)c12,active,391.44800000000015,3.8720200000000027,1.0,6.0,6.026872146400302
228,CHEMBL322676,Cc1csc2nc(Cc3cccc(NC(=O)c4cccc(NO)c4)c3)oc(=O)c12,active,407.45100000000014,4.202120000000002,3.0,7.0,7.346787486224656
229,CHEMBL104662,Cc1csc2nc(Cc3ccc(C(=O)c4ccccc4)cc3)oc(=O)c12,active,361.42200000000014,4.379720000000003,0.0,5.0,6.096910013008056
232,CHEMBL106641,CC(=O)c1cccc(NO)c1,inactive,151.165,1.6902999999999997,2.0,3.0,4.958607314841775
233,CHEMBL108677,Cc1csc2nc(Cc3cccc(NC(=O)c4ccc(NO)cc4)c3)oc(=O)c12,active,407.45100000000014,4.202120000000002,3.0,7.0,7.214670164989233
234,CHEMBL542448,Cl.NO,inactive,69.491,-0.2438999999999999,2.0,2.0,4.481486060122112
