molecule_chembl_id;canonical_smiles;standard_value;bioactivity
CHEMBL431337;C[C@@H]1C(=O)N(C(=O)NCc2ccccc2)[C@H]2CCN(C(=O)[C@@H]3CCCN3S(=O)(=O)c3cccc4c(N(C)C)cccc34)[C@H]12;66000;intermediate
CHEMBL48421;CNC(=O)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)[C@@H]1CCCN1S(=O)(=O)c1cccc2c(N(C)C)cccc12;220000;inactive
CHEMBL47226;CC(=O)N1C(=O)C(C)(C)[C@@H]2[C@@H]1CCN2C(=O)OCc1ccccc1;5000000;inactive
CHEMBL48562;COP(=O)(OC)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)OCc1ccccc1;5000000;inactive
CHEMBL46944;C[C@@H]1C(=O)N(C(=O)NCc2ccccc2)[C@H]2CCN(C(=O)OCc3ccccc3)[C@H]12;2500000;inactive
CHEMBL296301;C[C@@H]1C(=O)N(C(=O)C2C(C)(C)C2(C)C)[C@H]2CCN(C(=O)OCc3ccccc3)[C@H]12;5000000;inactive
CHEMBL49731;C[C@@H]1C(=O)N(c2nccs2)[C@H]2CCN(C(=O)OCc3ccccc3)[C@H]12;5000000;inactive
CHEMBL47429;C[C@@H]1C(=O)N(C(=O)C2C(C)(C)C2(C)C)[C@H]2CCN(C(=O)[C@@H]3CCCN3S(=O)(=O)c3cccc4c(N(C)C)cccc34)[C@H]12;1000000;inactive
CHEMBL50373;C[C@@H]1C(=O)N(c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])[C@H]2CCN(C(=O)OCc3ccccc3)[C@H]12;5000000;inactive
CHEMBL297341;C[C@@H]1[C@H](C(=O)N2C(=O)[C@@H](C)[C@@H]3[C@@H]2CCN3C(=O)OCc2ccccc2)[C@@H]1C;720000;inactive
CHEMBL298789;C[C@@H]1C(=O)N(C(=O)C(C)(C)C)[C@H]2CCN(C(=O)OCc3ccccc3)[C@H]12;5000000;inactive
